Row Labels;Sum of CREDITO;;;
3410281 13 38119;26220000;;26220000;0
3410281 13 38183;31740000;;31740000;0
3410281 13 38272;16560000;;16560000;0
3410281 13 38285;8280000;;8280000;0
3410281 13 38574;40740700;;40740700;0
3410281 13 39626;78775000;;78775000;0
3410281 13 39930;63480000;;63480000;0
3410281 2 16581;70000000;;70000000;0
3410281 2 19503;100000000;;100000000;0
3410281 2 20000553;26000000;;26000000;0
3410281 2 20000887;27000000;;27000000;0
3410281 2 20001892;92700000;;92700000;0
3410281 2 34516;100000000;;100000000;0
3410281 2 34562;189000000;;189000000;0
3410281 2 34893;150000000;;150000000;0
3410281 2 35356;200000000;;200000000;0
3410281 2 37554;700000000;;700000000;0
3410281 2 39429;700000000;;700000000;0
3410281 6 20000483;17325000;;17325000;0
3410281 6 20000929;16562900;;16562900;0
3410281 8 11356;20000000;;20000000;0
3410281 8 11357;100000000;;100000000;0
3410281 8 11359;40000000;;40000000;0
3410281 8 11833;64000000;;64000000;0
3410281 8 29014;100000000;;100000000;0
3410281 8 29091;100000000;;100000000;0
3410281 8 29150;100000000;;100000000;0
3410281 8 29335;100000000;;100000000;0
3410281 8 29398;100000000;;100000000;0
3410281 8 29440;200000000;;200000000;0
3410281 8 32821;121578734;;121578734;0
3410281 8 32902;120000000;;120000000;0
3410281 8 32947;60000000;;60000000;0
3410281 8 8898;150000000;;150000000;0
3410312 2 20000197;3600000;;3600000;0
3410312 2 20000860;3537000;;3537000;0
3410312 6 20000138;550000;;550000;0
3410312 6 20000861;550000;;550000;0
3410320 2 1575;900000;;900000;0
3410320 2 2766;595000;;595000;0
3410320 2 445;900000;;900000;0
3410320 2 914;900000;;900000;0
3410380 13 20001945;2736000;;2736000;0
3410380 13 28954;3506700;;3506700;0
3410380 13 32680;4044800;;4044800;0
3410380 13 34879;8455200;;8455200;0
3410380 13 35776;3645000;;3645000;0
3410380 13 36269;8659400;;8659400;0
3410380 13 39575;5460000;;5460000;0
3410380 13 39949;8568000;;8568000;0
3410380 2 20000078;6000000;;6000000;0
3410380 2 20000778;8000000;;8000000;0
3410380 2 20001069;7505000;;7505000;0
3410380 2 20001284;7505000;;7505000;0
3410380 2 20001452;7505000;;7505000;0
3410380 2 20001659;7505000;;7505000;0
3410380 2 20001981;4900000;;4900000;0
3410380 2 28643;11000000;;11000000;0
3410380 2 32195;18900000;;18900000;0
3410380 2 40616;10990109;;10990109;0
3410381 13 28314;933800;;933800;0
3410381 2 20001177;390000;;390000;0
3410381 2 20001340;900000;;900000;0
3410381 2 20001661;1100000;;1100000;0
3410381 6 20001178;260400;;260400;0
3410381 6 20001341;639600;;639600;0
3410381 6 24465;1366000;;1366000;0
3410381 6 28773;0;;0;0
3410417 6 37201;4502400;;4502400;0
3410417 6 38592;6960000;;6960000;0
3410417 6 39289;9425900;;9425900;0
3410426 2 40778;700000;;700000;0
3410528 13 37552;1459200;;1459200;0
3410528 2 10684;1200000;;1200000;0
3410528 2 22752;4000000;;4000000;0
3410528 2 4717;400000;;400000;0
3410528 2 7037;1000000;;1000000;0
3410528 6 103121;712000;;712000;0
3410528 6 10693;1284000;;1284000;0
3410528 6 18843;2444500;;2444500;0
3410528 6 20867;945200;;945200;0
3410528 6 28526;1545600;;1545600;0
3410528 6 32344;1326000;;1326000;0
3410528 6 4844;760000;;760000;0
3410528 6 6941;1004800;;1004800;0
3410624 2 1198;2000000;;2000000;0
3410624 2 1992;2000000;;2000000;0
3410624 2 2785;2000000;;2000000;0
3410624 2 426;2000000;;2000000;0
3410624 2 428;2000000;;2000000;0
3410632 2 8468;1000000;;1000000;0
3410632 6 5;503600;;503600;0
3410632 6 50058;852800;;852800;0
3410632 7 3;600000;;600000;0
3410681 2 20000363;15000000;;15000000;0
3410681 6 20000006;2964400;;2964400;0
3410723 2 20000358;2300000;;2300000;0
3410723 2 20000808;2300000;;2300000;0
3410723 2 20000809;11607780;;11607780;0
3410723 6 20000004;5460000;;5460000;0
3410745 2 6125;600000;;600000;0
3410745 6 30001129;428000;;428000;0
3410745 6 30003082;680000;;680000;0
3410794 2 20000105;6965000;;6965000;0
3410794 5 20001197;6965000;;6965000;0
3410794 5 20001198;1150000;;1150000;0
3410794 6 20000450;1150000;;1150000;0
3410810 2 34;2500000;;2500000;0
3410810 2 50011;8787000;;8787000;0
3410810 2 50012;2500000;;2500000;0
3410810 2 50142;8787000;;8787000;0
3410810 2 50143;2500000;;2500000;0
3410810 2 50214;8787000;;8787000;0
3410810 2 50215;2500000;;2500000;0
3410810 2 50295;2500000;;2500000;0
3410810 2 50302;8787000;;8787000;0
3410810 2 54;9000000;;9000000;0
3410810 2 6053;9000000;;9000000;0
3410810 2 6054;2500000;;2500000;0
3410810 2 7;9270000;;9270000;0
3410810 3 13;2000000;;2000000;0
3410810 3 9;1000000;;1000000;0
3410810 6 50013;4727531;;4727531;0
3410810 6 50144;4727531;;4727531;0
3410810 6 50216;4727531;;4727531;0
3410810 6 50294;4727531;;4727531;0
3410810 6 6092;4727531;;4727531;0
3410810 6 66;4727531;;4727531;0
3410815 2 14315;1000000;;1000000;0
3410815 2 16017;1100000;;1100000;0
3410815 2 19405;1500000;;1500000;0
3410815 2 22574;1500000;;1500000;0
3410815 2 24597;2600000;;2600000;0
3410815 2 27615;3200000;;3200000;0
3410815 2 33478;3700000;;3700000;0
3410815 2 37091;1643893;;1643893;0
3410815 2 37970;2000000;;2000000;0
3410815 2 39851;3700000;;3700000;0
3410815 2 50060;700000;;700000;0
3410815 6 24628;670000;;670000;0
3410815 6 27705;1067200;;1067200;0
3410815 6 31997;1067200;;1067200;0
3410848 2 31002;1500000;;1500000;0
3410848 2 33880;1500000;;1500000;0
3410848 2 50074;500000;;500000;0
3410848 2 50116;500000;;500000;0
3410848 2 50160;800000;;800000;0
3410848 2 50240;500000;;500000;0
3410848 2 50316;500000;;500000;0
3410848 2 50389;550000;;550000;0
3410848 2 6064;300000;;300000;0
3410848 2 7888;480000;;480000;0
3410848 6 31003;957500;;957500;0
3410848 6 33881;957500;;957500;0
3410848 6 50075;504000;;504000;0
3410848 6 50115;564400;;564400;0
3410848 6 50161;646000;;646000;0
3410848 6 50239;801000;;801000;0
3410848 6 50315;585200;;585200;0
3410848 6 50390;678000;;678000;0
3410848 6 6110;266000;;266000;0
3410848 6 7889;289800;;289800;0
3410875 6 39983;576000;;576000;0
3410890 2 14739;500000;;500000;0
3410890 2 17239;500000;;500000;0
3410890 2 18286;500000;;500000;0
3410890 2 19771;1000000;;1000000;0
3410890 2 22555;1000000;;1000000;0
3410890 2 25504;1000000;;1000000;0
3410890 2 6040;500000;;500000;0
3410890 3 11;500000;;500000;0
3410890 6 6082;232300;;232300;0
3410901 1 128;350000;;350000;0
3410901 2 1554;400000;;400000;0
3410901 2 2375;400000;;400000;0
3410901 2 33;500000;;500000;0
3410901 2 346;600000;;600000;0
3410901 2 3950;500000;;500000;0
3410909 2 20000303;1700000;;1700000;0
3410909 2 20000800;1700000;;1700000;0
3410909 2 20001033;1700000;;1700000;0
3410909 2 20001221;1700000;;1700000;0
3410909 6 20000094;1058600;;1058600;0
3410909 6 20000721;1058600;;1058600;0
3410934 13 35054;1070400;;1070400;0
3410934 13 37997;886400;;886400;0
3410934 2 29052;3000000;;3000000;0
3410934 2 32524;2000000;;2000000;0
3410934 2 35039;2550000;;2550000;0
3410934 2 37988;2050000;;2050000;0
3410934 2 39508;2100000;;2100000;0
3410934 2 50085;800000;;800000;0
3410934 2 50209;1300000;;1300000;0
3410934 2 50282;1500000;;1500000;0
3410934 2 50353;1500000;;1500000;0
3410934 2 50419;1500000;;1500000;0
3410934 2 6413;300000;;300000;0
3410934 6 32525;782800;;782800;0
3410934 6 39509;799000;;799000;0
3410934 6 50418;1832600;;1832600;0
3410934 6 6411;199500;;199500;0
3410986 2 18;880000;;880000;0
3410986 2 27179;2000000;;2000000;0
3410986 2 41;1340000;;1340000;0
3410986 2 50053;1000000;;1000000;0
3410986 2 50086;400000;;400000;0
3410986 2 50113;1500000;;1500000;0
3410986 2 50190;1500000;;1500000;0
3410986 2 50276;2000000;;2000000;0
3410986 2 50331;2000000;;2000000;0
3410986 2 50408;2000000;;2000000;0
3410986 2 53;730000;;730000;0
3410986 2 8463;1500000;;1500000;0
3410986 3 6037;300000;;300000;0
3410986 5 38116;1180200;;1180200;0
3410986 6 27910;3787202;;3787202;0
3410986 6 31779;3787202;;3787202;0
3410986 6 4078;237600;;237600;0
3410986 6 50052;1011200;;1011200;0
3410986 6 50114;1731900;;1731900;0
3410986 6 50191;2207100;;2207100;0
3410986 6 50275;1737500;;1737500;0
3410986 6 50343;2104800;;2104800;0
3410986 6 50407;1970200;;1970200;0
3410986 6 602;237600;;237600;0
3410986 6 6098;754000;;754000;0
3410986 6 9;455000;;455000;0
3411004 2 11149;1091000;;1091000;0
3411004 2 14617;1091000;;1091000;0
3411004 2 14863;150000;;150000;0
3411004 2 17981;1086000;;1086000;0
3411004 2 1815;850000;;850000;0
3411004 2 20752;1086000;;1086000;0
3411004 2 23730;1086000;;1086000;0
3411004 2 2586;843000;;843000;0
3411004 2 26847;740600;;740600;0
3411004 2 27052;100000;;100000;0
3411004 2 27612;150000;;150000;0
3411004 2 30696;690000;;690000;0
3411004 2 35439;150000;;150000;0
3411004 2 36625;200000;;200000;0
3411004 2 36770;200000;;200000;0
3411004 2 37901;375000;;375000;0
3411004 2 38878;1000000;;1000000;0
3411004 2 40790;200000;;200000;0
3411004 2 6807;1120000;;1120000;0
3411004 2 92;339000;;339000;0
3411004 3 277;250000;;250000;0
3411004 3 579;250000;;250000;0
3411004 5 35115;735600;;735600;0
3411004 6 26851;285600;;285600;0
3411004 6 30697;285600;;285600;0
3411004 6 51;312300;;312300;0
3411004 7 51;850000;;850000;0
3411103 2 11054;1000000;;1000000;0
3411103 2 13589;1000000;;1000000;0
3411103 2 1419;500000;;500000;0
3411103 2 15640;1000000;;1000000;0
3411103 2 1706;600000;;600000;0
3411103 2 2023;600000;;600000;0
3411103 2 2410;400000;;400000;0
3411103 2 2999;400000;;400000;0
3411103 2 3339;400000;;400000;0
3411103 2 471;500000;;500000;0
3411103 2 6071;300000;;300000;0
3411103 2 8325;700000;;700000;0
3411103 2 852;200000;;200000;0
3411128 2 20000469;3000000;;3000000;0
3411128 2 20000751;3500000;;3500000;0
3411128 2 20001118;4300000;;4300000;0
3411128 2 20001356;4300000;;4300000;0
3411128 2 20001553;4500000;;4500000;0
3411128 2 20001707;5000000;;5000000;0
3411128 2 20001921;5000000;;5000000;0
3411128 2 20002104;6000000;;6000000;0
3411128 2 27845;8000000;;8000000;0
3411128 2 32096;8000000;;8000000;0
3411128 2 35258;10000000;;10000000;0
3411128 2 36586;15000000;;15000000;0
3411128 2 38675;15000000;;15000000;0
3411128 6 20001061;1680000;;1680000;0
3411128 6 20001392;2856000;;2856000;0
3411128 6 20001554;4505700;;4505700;0
3411128 6 20001889;2895600;;2895600;0
3411128 6 20002103;3005000;;3005000;0
3411128 6 27846;4980600;;4980600;0
3411128 6 32097;5113500;;5113500;0
3411140 2 1102;2400000;;2400000;0
3411140 2 1135;3560000;;3560000;0
3411140 2 427;3560000;;3560000;0
3411140 3 403;200000;;200000;0
3411140 6 1024;780000;;780000;0
3411140 6 1146;581250;;581250;0
3411140 6 420;780000;;780000;0
3411219 2 50;2000000;;2000000;0
3411219 2 50051;3000000;;3000000;0
3411219 2 50105;3000000;;3000000;0
3411219 2 50185;1900000;;1900000;0
3411219 2 50242;1900000;;1900000;0
3411219 2 50321;2500000;;2500000;0
3411219 2 50382;2500000;;2500000;0
3411219 2 6028;2000000;;2000000;0
3411219 2 7826;2000000;;2000000;0
3411268 6 102403;148000;;148000;0
3411277 13 34493;953670;;953670;0
3411277 13 37368;2230000;;2230000;0
3411277 2 18173;1000000;;1000000;0
3411277 2 20934;1200000;;1200000;0
3411277 2 23773;1400000;;1400000;0
3411277 2 26801;594500;;594500;0
3411277 2 28846;1500000;;1500000;0
3411277 2 32695;1900000;;1900000;0
3411277 2 35956;2000000;;2000000;0
3411277 2 37690;1000000;;1000000;0
3411277 2 38986;1300000;;1300000;0
3411277 2 39831;2000000;;2000000;0
3411277 6 12011;437000;;437000;0
3411277 6 13074;499300;;499300;0
3411277 6 15772;984500;;984500;0
3411277 6 26650;1044400;;1044400;0
3411277 6 30509;1155400;;1155400;0
3411278 13 34979;1339700;;1339700;0
3411278 2 26697;1500000;;1500000;0
3411278 2 35448;830000;;830000;0
3411278 2 40037;1000000;;1000000;0
3411278 2 73;250000;;250000;0
3411278 6 26591;950600;;950600;0
3411282 2 6059;800000;;800000;0
3411282 2 7820;1100000;;1100000;0
3411282 6 6099;280600;;280600;0
3411291 2 12134;3100000;;3100000;0
3411291 2 14350;700000;;700000;0
3411291 2 14961;3000000;;3000000;0
3411291 2 15922;1000000;;1000000;0
3411291 2 17746;4000000;;4000000;0
3411291 2 20789;4000000;;4000000;0
3411291 2 39065;1600000;;1600000;0
3411291 2 5063;2000000;;2000000;0
3411291 2 7868;2300000;;2300000;0
3411291 2 9717;2700000;;2700000;0
3411291 6 13881;1439140;;1439140;0
3411291 6 15924;1453200;;1453200;0
3411291 6 17946;2674500;;2674500;0
3411291 6 20000091;1252100;;1252100;0
3411291 6 39416;964000;;964000;0
3411291 6 7727;1336200;;1336200;0
3411291 6 9750;1736200;;1736200;0
3411500 2 43;850000;;850000;0
3412061 2 10755;800000;;800000;0
3412061 2 12425;300000;;300000;0
3412061 2 15072;600000;;600000;0
3412061 2 1528;400000;;400000;0
3412061 2 17378;500000;;500000;0
3412061 2 20294;600000;;600000;0
3412061 2 23148;600000;;600000;0
3412061 2 26101;600000;;600000;0
3412061 2 2701;400000;;400000;0
3412061 2 29695;500000;;500000;0
3412061 2 2987;120000;;120000;0
3412061 2 33256;500000;;500000;0
3412061 2 36630;500000;;500000;0
3412061 2 38922;500000;;500000;0
3412061 2 743;250000;;250000;0
3412061 2 8151;500000;;500000;0
3415372 2 25073;6100000;;6100000;0
3415372 2 27950;6100000;;6100000;0
3415372 2 30000837;2490000;;2490000;0
3415372 2 30001614;2490000;;2490000;0
3415372 2 30002306;2490000;;2490000;0
3415372 2 30002476;6100000;;6100000;0
3415372 2 30003057;6100000;;6100000;0
3415372 2 30003504;6100000;;6100000;0
3415372 2 31826;6100000;;6100000;0
3415372 2 35;2700000;;2700000;0
3415372 2 53;2700000;;2700000;0
3415372 2 583;2700000;;2700000;0
3415372 2 60;2700000;;2700000;0
3415372 2 648;2700000;;2700000;0
3415372 2 92;2700000;;2700000;0
3415372 5 35526;5356400;;5356400;0
3415372 6 1;1934400;;1934400;0
3415372 6 198;1934400;;1934400;0
3415372 6 21;1934400;;1934400;0
3415372 6 25074;1934400;;1934400;0
3415372 6 27951;1934400;;1934400;0
3415372 6 30000327;1934400;;1934400;0
3415372 6 30001153;1934400;;1934400;0
3415372 6 30001816;1934400;;1934400;0
3415372 6 30002408;1934400;;1934400;0
3415372 6 30002874;1934400;;1934400;0
3415372 6 30003505;1934400;;1934400;0
3415372 6 31827;1934400;;1934400;0
3415372 6 337;1934400;;1934400;0
3415372 6 459;1934400;;1934400;0
3415372 6 681;1934400;;1934400;0
3415545 2 427;1300000;;1300000;0
3415545 6 30049;204000;;204000;0
3415667 1 245;2300000;;2300000;0
3415667 1 386;2400000;;2400000;0
3415667 1 97;1300000;;1300000;0
3415667 2 196;700000;;700000;0
3415667 2 231;2000000;;2000000;0
3415667 2 30000021;1969000;;1969000;0
3415667 2 30000531;1900000;;1900000;0
3415667 2 30001031;2000000;;2000000;0
3415667 2 30001560;2000000;;2000000;0
3415667 2 30002222;3000000;;3000000;0
3415667 2 30002777;3000000;;3000000;0
3415667 6 272;1049300;;1049300;0
3415667 6 30000385;1028000;;1028000;0
3415667 6 30000637;1086500;;1086500;0
3415667 6 30001585;856000;;856000;0
3415667 6 30002223;966000;;966000;0
3415667 6 30002778;966000;;966000;0
3415773 6 1;472800;;472800;0
3415773 6 709;502400;;502400;0
3415841 2 186;1680000;;1680000;0
3415841 2 2;1680000;;1680000;0
3415841 2 25;1680000;;1680000;0
3415841 2 30000364;1680000;;1680000;0
3415841 2 30001804;1635000;;1635000;0
3415841 2 30002374;1635000;;1635000;0
3415841 2 367;1680000;;1680000;0
3415841 2 491;1680000;;1680000;0
3415841 2 994;1680000;;1680000;0
3415841 6 1;550000;;550000;0
3415882 2 178;9500000;;9500000;0
3415882 2 241;4000000;;4000000;0
3415882 2 30000892;13000000;;13000000;0
3415882 2 30001213;13000000;;13000000;0
3415882 2 867;8500000;;8500000;0
3415882 6 30000895;2482200;;2482200;0
3415882 6 30001214;2482200;;2482200;0
3415882 8 11126;100000000;;100000000;0
3415882 8 11358;346000000;;346000000;0
3415882 8 11360;69000000;;69000000;0
3415882 8 11363;64000000;;64000000;0
3415882 8 11462;1000000;;1000000;0
3415882 8 11524;120000000;;120000000;0
3415882 8 13386;190000000;;190000000;0
3415882 8 13437;445000000;;445000000;0
3415882 8 13556;15000000;;15000000;0
3415882 8 13655;20000000;;20000000;0
3415882 8 13656;15000000;;15000000;0
3415882 8 14162;15000000;;15000000;0
3415882 8 17741;60000000;;60000000;0
3415882 8 17762;30000000;;30000000;0
3415882 8 17828;130000000;;130000000;0
3415882 8 17842;130000000;;130000000;0
3415882 8 18027;90000000;;90000000;0
3415882 8 18112;60000000;;60000000;0
3415882 8 20834;250000000;;250000000;0
3415882 8 20874;75760000;;75760000;0
3415882 8 20949;70000000;;70000000;0
3415882 8 21028;104240000;;104240000;0
3415882 8 25331;150000000;;150000000;0
3415882 8 25841;150000000;;150000000;0
3415882 8 25916;100000000;;100000000;0
3415882 8 26084;70000000;;70000000;0
3415882 8 29257;50000000;;50000000;0
3415882 8 29302;50000000;;50000000;0
3415882 8 29304;111791750;;111791750;0
3415882 8 29414;56345000;;56345000;0
3415882 8 29527;101558000;;101558000;0
3415882 8 29667;44082000;;44082000;0
3415882 8 32924;50000000;;50000000;0
3415882 8 32925;50000000;;50000000;0
3415882 8 32926;111791750;;111791750;0
3415882 8 33046;56345000;;56345000;0
3415882 8 33221;192960000;;192960000;0
3415882 8 33282;83755000;;83755000;0
3415882 8 36433;83201248;;83201248;0
3415882 8 36561;39673000;;39673000;0
3415882 8 36562;91402000;;91402000;0
3415882 8 425;293284516;;293284516;0
3415882 8 8899;446000000;;446000000;0
3415919 13 25485;8879000;;8879000;0
3415919 13 30003665;7962500;;7962500;0
3415919 13 32768;5948444;;5948444;0
3415919 13 39580;11232600;;11232600;0
3415919 2 32713;13900000;;13900000;0
3415919 2 36137;16000000;;16000000;0
3415919 6 30003264;4154000;;4154000;0
3415975 2 149;600000;;600000;0
3415975 2 231;1200000;;1200000;0
3415975 2 232;1200000;;1200000;0
3415975 2 233;1200000;;1200000;0
3415975 2 234;1200000;;1200000;0
3415975 2 30000770;1200000;;1200000;0
3415975 2 30001616;1156000;;1156000;0
3415975 2 30002705;1086000;;1086000;0
3415975 2 309;600000;;600000;0
3415975 2 352;600000;;600000;0
3415975 2 386;1200000;;1200000;0
3415975 2 756;1200000;;1200000;0
3415975 6 224;421500;;421500;0
3415975 6 300;340500;;340500;0
3415975 6 30000166;654500;;654500;0
3415975 6 30000871;745200;;745200;0
3415975 6 30001681;520800;;520800;0
3415975 6 30002704;261800;;261800;0
3415975 6 619;684400;;684400;0
3416010 2 30;1000000;;1000000;0
3416010 2 412;2000000;;2000000;0
3416010 2 429;1000000;;1000000;0
3416010 2 74;2000000;;2000000;0
3416015 2 204;3000000;;3000000;0
3416015 2 30000666;3000000;;3000000;0
3416015 2 30000667;2156000;;2156000;0
3416015 2 407;3000000;;3000000;0
3416015 2 413;3000000;;3000000;0
3416015 6 1;2156000;;2156000;0
3416015 6 15;2156000;;2156000;0
3416015 6 362;2156000;;2156000;0
3416015 6 364;2156000;;2156000;0
3416201 2 133;800000;;800000;0
3416201 2 134;487000;;487000;0
3416201 2 30000319;700000;;700000;0
3416201 2 30001181;372000;;372000;0
3416201 2 30001972;650000;;650000;0
3416201 2 30002485;564000;;564000;0
3416201 2 378;630000;;630000;0
3416201 2 424;700000;;700000;0
3416201 2 520;1000000;;1000000;0
3416201 7 30002668;300000;;300000;0
3416311 2 30000600;3200000;;3200000;0
3416311 2 30001344;2500000;;2500000;0
3416311 2 30001927;2500000;;2500000;0
3416311 2 30002369;2500000;;2500000;0
3416311 2 32;2000000;;2000000;0
3416311 2 33;2500000;;2500000;0
3416311 2 489;3000000;;3000000;0
3416311 2 55;2000000;;2000000;0
3416311 2 56;1797000;;1797000;0
3416311 2 571;2500000;;2500000;0
3416311 2 993;1000000;;1000000;0
3416311 6 204;439900;;439900;0
3416311 6 299;761950;;761950;0
3416311 6 509;618600;;618600;0
3416311 6 733;469200;;469200;0
3416328 1 29;1200000;;1200000;0
3416328 1 352;1200000;;1200000;0
3416328 1 40;1200000;;1200000;0
3416328 2 11;1000000;;1000000;0
3416328 2 30001760;510000;;510000;0
3416328 2 30002116;1000000;;1000000;0
3416328 2 30002408;1000000;;1000000;0
3416328 2 30002885;1500000;;1500000;0
3416328 2 427;700000;;700000;0
3416328 2 973;1000000;;1000000;0
3416328 7 33839;1500000;;1500000;0
3416336 2 167;50000000;;50000000;0
3416336 2 251;50000000;;50000000;0
3416336 2 30002077;109000000;;109000000;0
3416336 2 30002796;67000000;;67000000;0
3416336 2 334;50000000;;50000000;0
3416336 6 30002051;96467500;;96467500;0
3416365 1 9;1400000;;1400000;0
3416365 2 139;1400000;;1400000;0
3416365 2 30000381;1540000;;1540000;0
3416365 2 30001178;1529000;;1529000;0
3416365 2 30001848;1529000;;1529000;0
3416365 2 30002363;1529000;;1529000;0
3416365 2 360;1540000;;1540000;0
3416365 2 433;1400000;;1400000;0
3416365 2 947;1540000;;1540000;0
3416365 6 1;289400;;289400;0
3416365 6 136;289400;;289400;0
3416365 6 156;554400;;554400;0
3416365 6 701;554400;;554400;0
3416411 2 222;3000000;;3000000;0
3416411 2 256;4000000;;4000000;0
3416411 2 269;8000000;;8000000;0
3416411 2 30000212;7000000;;7000000;0
3416411 2 30001748;6000000;;6000000;0
3416411 2 30002754;6000000;;6000000;0
3416411 2 376;7000000;;7000000;0
3416411 2 40690;6000000;;6000000;0
3416411 6 157;1988750;;1988750;0
3416411 6 30001035;5019200;;5019200;0
3416411 6 612;5982600;;5982600;0
3416430 1 313;300000;;300000;0
3416430 2 110;152000;;152000;0
3416430 2 266;500000;;500000;0
3416430 2 601;500000;;500000;0
3416430 6 255;337200;;337200;0
3416430 6 303;227000;;227000;0
3416438 2 138;424000;;424000;0
3416438 2 187;1600000;;1600000;0
3416438 2 30001272;315000;;315000;0
3416438 2 434;510000;;510000;0
3416438 6 1;275000;;275000;0
3416438 6 55;275000;;275000;0
3416445 2 154;14000000;;14000000;0
3416445 2 196;10000000;;10000000;0
3416445 2 30000040;14000000;;14000000;0
3416445 2 30000853;14000000;;14000000;0
3416445 2 346;8000000;;8000000;0
3416445 2 589;14000000;;14000000;0
3416445 6 1;3585400;;3585400;0
3416445 6 2;2297100;;2297100;0
3416445 6 454;7150000;;7150000;0
3416445 6 96;5620000;;5620000;0
3416460 6 1;505700;;505700;0
3416489 2 177;1300000;;1300000;0
3416489 2 30000311;1300000;;1300000;0
3416489 2 30001303;1255000;;1255000;0
3416489 2 325;1300000;;1300000;0
3416489 2 326;200000;;200000;0
3416489 2 327;1300000;;1300000;0
3416489 2 392;1300000;;1300000;0
3416489 2 412;1300000;;1300000;0
3416489 2 434;200000;;200000;0
3416489 2 494;1000000;;1000000;0
3416489 6 226;534511;;534511;0
3416489 6 30000312;534511;;534511;0
3416489 6 30086;534511;;534511;0
3416489 6 348;534511;;534511;0
3416489 6 466;534511;;534511;0
3416501 2 140;850000;;850000;0
3416501 2 226;650000;;650000;0
3416501 2 275;450000;;450000;0
3416501 2 30000408;850000;;850000;0
3416501 2 30001161;826000;;826000;0
3416501 2 30001837;724000;;724000;0
3416501 2 30002371;673000;;673000;0
3416501 2 30003431;300000;;300000;0
3416501 2 35345;300000;;300000;0
3416501 2 38219;300000;;300000;0
3416501 6 32743;398800;;398800;0
3416524 2 6133;790000;;790000;0
3416525 2 146;84000;;84000;0
3416563 2 6077;130000;;130000;0
3416563 2 8098;900000;;900000;0
3416599 2 1;1000000;;1000000;0
3416599 2 2;500000;;500000;0
3416616 2 1026;1500000;;1500000;0
3416616 2 1883;3200000;;3200000;0
3416616 2 2752;3200000;;3200000;0
3416616 2 278;1990000;;1990000;0
3416616 2 7604;3200000;;3200000;0
3416616 4 40018;1000000;;1000000;0
3416616 5 10749;5580000;;5580000;0
3416616 5 35040;2048470;;2048470;0
3416616 6 10021;546000;;546000;0
3416616 6 10028;477000;;477000;0
3416616 6 10043;414700;;414700;0
3416616 6 102893;2501700;;2501700;0
3416616 6 35064;531220;;531220;0
3416616 6 35737;0;;0;0
3416616 6 56;1620000;;1620000;0
3416616 6 62;1320000;;1320000;0
3416616 6 7244;2501700;;2501700;0
3416616 6 851;0;;0;0
3416793 1 1;1359000;;1359000;0
3416793 6 132;1152600;;1152600;0
3416793 6 30000328;1188500;;1188500;0
3416889 2 191;200000;;200000;0
3416889 2 195;200000;;200000;0
3416889 2 356;1000000;;1000000;0
3416889 2 903;200000;;200000;0
3416889 6 1;260250;;260250;0
3416889 6 199;135600;;135600;0
3416889 6 249;135600;;135600;0
3416889 6 667;135600;;135600;0
3416910 13 24819;1746000;;1746000;0
3416910 13 28496;1028800;;1028800;0
3416910 13 30003586;1268700;;1268700;0
3416910 2 25826;4000000;;4000000;0
3416910 2 29546;4000000;;4000000;0
3416910 2 30000322;1000000;;1000000;0
3416910 2 30001116;834000;;834000;0
3416910 2 30001781;834000;;834000;0
3416910 2 30002171;4000000;;4000000;0
3416910 2 30002445;4000000;;4000000;0
3416910 2 30002786;4000000;;4000000;0
3416910 2 30003201;4000000;;4000000;0
3416910 2 30003725;4000000;;4000000;0
3416910 2 33194;4000000;;4000000;0
3416910 2 343;1000000;;1000000;0
3416910 2 349;1000000;;1000000;0
3416910 2 416;1000000;;1000000;0
3416910 2 928;1000000;;1000000;0
3416910 6 1;911250;;911250;0
3416910 6 208;911250;;911250;0
3416910 6 25827;1994850;;1994850;0
3416910 6 29547;1994850;;1994850;0
3416910 6 30000288;911250;;911250;0
3416910 6 30000354;911250;;911250;0
3416910 6 30001115;911250;;911250;0
3416910 6 30001240;911250;;911250;0
3416910 6 30001782;911250;;911250;0
3416910 6 30002170;1994850;;1994850;0
3416910 6 30002444;1994850;;1994850;0
3416910 6 30002787;1994850;;1994850;0
3416910 6 30003202;1994850;;1994850;0
3416910 6 30003726;1994850;;1994850;0
3416910 6 33195;1994850;;1994850;0
3416910 6 433;911250;;911250;0
3416910 6 476;911250;;911250;0
3416910 6 694;911250;;911250;0
3416910 7 39828;2000000;;2000000;0
3416944 2 13;600000;;600000;0
3416944 2 15;1000000;;1000000;0
3416944 2 30000726;1500000;;1500000;0
3416944 2 30001375;1900000;;1900000;0
3416944 2 30001934;2000000;;2000000;0
3416944 2 30002210;200000;;200000;0
3416944 2 30002401;2000000;;2000000;0
3416944 2 30002939;2900000;;2900000;0
3416944 2 359;440000;;440000;0
3416944 2 369;1000000;;1000000;0
3416944 2 473;1300000;;1300000;0
3416944 2 580;1600000;;1600000;0
3416944 2 749;150000;;150000;0
3416944 2 864;200000;;200000;0
3416944 2 929;130000;;130000;0
3416944 6 1;587250;;587250;0
3416944 6 221;857200;;857200;0
3416944 6 30000414;1003100;;1003100;0
3416944 6 30001426;749600;;749600;0
3416944 6 30001992;1090500;;1090500;0
3416944 6 30002573;1490500;;1490500;0
3416944 6 30002836;1684400;;1684400;0
3416944 6 490;450800;;450800;0
