"","id.join","vr.pagos","NA","CREDITO"
"27711","21470533 6 40626",6,1396000,"NULL"
"27712","21470568 6 12622",6,138600,"NULL"
"27713","21470588 2 19305",2,270000,"NULL"
"27714","21470588 6 19309",6,165200,"NULL"
"27715","21470588 6 22223",6,370200,"NULL"
"27716","21470622 2 108",2,6e+05,"NULL"
"27717","21470622 2 13134",4,5e+05,"NULL"
"27718","21470622 2 1420",2,6e+05,"NULL"
"27719","21470622 2 2202",2,6e+05,"NULL"
"27720","21470622 2 2893",2,6e+05,"NULL"
"27721","21470622 2 4436",4,6e+05,"NULL"
"27722","21470622 2 665",2,6e+05,"NULL"
"27723","21470622 2 7362",6,550000,"NULL"
"27724","21470622 2 9853",2,5e+05,"NULL"
"27725","21470622 6 1215",6,3e+05,"NULL"
"27726","21470622 6 1852",6,3e+05,"NULL"
"27727","21470622 6 4077",6,350100,"NULL"
"27728","21470622 6 478",12,350100,"NULL"
"27729","21470622 6 612",6,3e+05,"NULL"
"27730","21470626 13 34363",117,743700,"NULL"
"27731","21470626 13 35970",117,1112500,"NULL"
"27732","21470626 2 10124",4,1350000,"NULL"
"27733","21470626 2 1342",2,1e+06,"NULL"
"27734","21470626 2 13453",4,1e+06,"NULL"
"27735","21470626 2 1700",2,1170000,"NULL"
"27736","21470626 2 21112",2,7e+05,"NULL"
"27737","21470626 2 23531",2,1300000,"NULL"
"27738","21470626 2 2413",2,1170000,"NULL"
"27739","21470626 2 27173",2,1500000,"NULL"
"27740","21470626 2 30884",2,1500000,"NULL"
"27741","21470626 2 34202",2,1500000,"NULL"
"27742","21470626 2 37113",4,460000,"NULL"
"27743","21470626 2 6637",8,1740000,"NULL"
"27744","21470626 2 726",2,5e+05,"NULL"
"27745","21470626 3 139",3,2e+05,"NULL"
"27746","21470626 3 235",3,2e+05,"NULL"
"27747","21470626 3 288",3,85000,"NULL"
"27748","21470626 3 323",3,2e+05,"NULL"
"27749","21470626 3 94",6,2e+05,"NULL"
"27750","21470626 3 95",3,2e+05,"NULL"
"27751","21470626 6 1521",6,330000,"NULL"
"27752","21470626 6 1527",6,280000,"NULL"
"27753","21470626 6 1864",24,280000,"NULL"
"27754","21470626 6 37121",12,1099400,"NULL"
"27755","21470626 6 38955",12,1660000,"NULL"
"27756","21470626 6 6638",6,160000,"NULL"
"27757","21470626 6 999",12,276950,"NULL"
"27758","21470634 2 1368",2,8e+05,"NULL"
"27759","21470634 2 2217",2,8e+05,"NULL"
"27760","21470634 2 222",2,8e+05,"NULL"
"27761","21470634 2 867",2,8e+05,"NULL"
"27762","21470634 6 102021",6,702500,"NULL"
"27763","21470634 6 102681",6,761200,"NULL"
"27764","21470634 6 15",6,394000,"NULL"
"27765","21470634 6 4791",6,761200,"NULL"
"27766","21472521 2 1854",2,8e+05,"NULL"
"27767","21472521 2 248",6,7e+05,"NULL"
"27768","21472521 2 962",4,7e+05,"NULL"
"27769","21472521 6 100572",6,267050,"NULL"
"27770","21472521 6 101390",6,337200,"NULL"
"27771","21472562 2 1133",2,1e+06,"NULL"
"27772","21472562 2 1585",16,1e+06,"NULL"
"27773","21472562 2 16",8,1e+06,"NULL"
"27774","21472647 2 18488",2,2500000,"NULL"
"27775","21472647 2 24988",2,3500000,"NULL"
"27776","21472647 2 28228",2,4900000,"NULL"
"27777","21472647 2 32656",2,4900000,"NULL"
"27778","21472647 5 36366",15,6225000,"NULL"
"27779","21472647 6 28230",6,2583000,"NULL"
"27780","21472647 6 32657",6,2583000,"NULL"
"27781","21472685 13 34756",325,1101600,"NULL"
"27782","21472685 2 10309",4,2e+06,"NULL"
"27783","21472685 2 11735",8,2500000,"NULL"
"27784","21472685 2 12305",8,4e+06,"NULL"
"27785","21472685 2 14291",20,3e+06,"NULL"
"27786","21472685 2 1515",2,750000,"NULL"
"27787","21472685 2 15583",6,2500000,"NULL"
"27788","21472685 2 1654",4,1e+06,"NULL"
"27789","21472685 2 16806",4,1e+06,"NULL"
"27790","21472685 2 17902",4,6e+06,"NULL"
"27791","21472685 2 20398",16,5500000,"NULL"
"27792","21472685 2 23186",2,2e+06,"NULL"
"27793","21472685 2 2576",4,1500000,"NULL"
"27794","21472685 2 26639",16,3e+06,"NULL"
"27795","21472685 2 2876",6,1500000,"NULL"
"27796","21472685 2 30554",4,3e+06,"NULL"
"27797","21472685 2 3280",4,3500000,"NULL"
"27798","21472685 2 33910",18,3088065,"NULL"
"27799","21472685 2 5115",6,5e+05,"NULL"
"27800","21472685 2 6824",10,2500000,"NULL"
"27801","21472685 2 7706",6,5e+05,"NULL"
"27802","21472685 6 12486",18,2736000,"NULL"
"27803","21472685 6 1343",6,1117000,"NULL"
"27804","21472685 6 1582",12,858000,"NULL"
"27805","21472685 6 15835",30,2560000,"NULL"
"27806","21472685 6 16965",24,2010000,"NULL"
"27807","21472685 6 175",6,784000,"NULL"
"27808","21472685 6 18009",42,3564000,"NULL"
"27809","21472685 6 2037",18,1124000,"NULL"
"27810","21472685 6 20796",18,4065100,"NULL"
"27811","21472685 6 23269",42,3635500,"NULL"
"27812","21472685 6 2465",6,1264000,"NULL"
"27813","21472685 6 26609",18,5498800,"NULL"
"27814","21472685 6 30433",30,5498800,"NULL"
"27815","21472685 6 33911",60,5065800,"NULL"
"27816","21472685 6 5319",12,1543400,"NULL"
"27817","21472685 6 562",6,896000,"NULL"
"27818","21472685 6 6868",30,1681200,"NULL"
"27819","21472685 6 9615",42,2578200,"NULL"
"27820","21472692 13 35406",195,1989029,"NULL"
"27821","21472692 13 37673",169,2271000,"NULL"
"27822","21472692 2 1067",6,1200000,"NULL"
"27823","21472692 2 10969",2,1100000,"NULL"
"27824","21472692 2 11862",4,1e+06,"NULL"
"27825","21472692 2 14453",4,905000,"NULL"
"27826","21472692 2 15027",6,2e+06,"NULL"
"27827","21472692 2 1788",2,1200000,"NULL"
"27828","21472692 2 18840",4,4e+06,"NULL"
"27829","21472692 2 22058",2,1400000,"NULL"
"27830","21472692 2 22266",2,4e+06,"NULL"
"27831","21472692 2 2280",2,4e+05,"NULL"
"27832","21472692 2 2319",2,4e+05,"NULL"
"27833","21472692 2 2320",2,1200000,"NULL"
"27834","21472692 2 24409",2,1500000,"NULL"
"27835","21472692 2 246",8,6e+05,"NULL"
"27836","21472692 2 25502",6,3e+06,"NULL"
"27837","21472692 2 26909",2,4e+06,"NULL"
"27838","21472692 2 2919",6,1200000,"NULL"
"27839","21472692 2 30356",12,4e+06,"NULL"
"27840","21472692 2 4214",2,2e+05,"NULL"
"27841","21472692 2 4387",2,810000,"NULL"
"27842","21472692 2 4708",8,2500000,"NULL"
"27843","21472692 2 7288",6,1461000,"NULL"
"27844","21472692 3 11732",3,3e+05,"NULL"
"27845","21472692 3 164",3,2e+05,"NULL"
"27846","21472692 3 430",3,2e+05,"NULL"
"27847","21472692 3 6532",3,3e+05,"NULL"
"27848","21472692 3 682",3,150000,"NULL"
"27849","21472692 3 876",3,1e+05,"NULL"
"27850","21472692 3 9180",3,2e+05,"NULL"
"27851","21472692 6 10302",6,1012200,"NULL"
"27852","21472692 6 1057",6,301200,"NULL"
"27853","21472692 6 13565",6,1242500,"NULL"
"27854","21472692 6 1415",6,794500,"NULL"
"27855","21472692 6 15231",18,2052900,"NULL"
"27856","21472692 6 1786",12,794500,"NULL"
"27857","21472692 6 1953",6,389000,"NULL"
"27858","21472692 6 20798",6,1347900,"NULL"
"27859","21472692 6 249",12,538459,"NULL"
"27860","21472692 6 27204",6,2187900,"NULL"
"27861","21472692 6 39156",12,2454530,"NULL"
"27862","21472692 6 5217",6,794400,"NULL"
"27863","21472692 6 560",12,576080,"NULL"
"27864","21472692 6 7295",6,1071200,"NULL"
"27865","21472752 2 1583",2,6100000,"NULL"
"27866","21472752 2 1856",2,6050000,"NULL"
"27867","21472752 2 2641",2,6050000,"NULL"
"27868","21472752 2 73",2,3822000,"NULL"
"27869","21472752 2 764",2,4770000,"NULL"
"27870","21472752 6 100630",6,3213590,"NULL"
"27871","21472752 6 1431",6,3213590,"NULL"
"27872","21472752 6 1432",6,3800000,"NULL"
"27873","21472752 6 1583",6,4043000,"NULL"
"27874","21472752 6 182",6,2720000,"NULL"
"27875","21472752 6 2202",6,4043000,"NULL"
"27876","21472752 6 626",18,2720000,"NULL"
"27877","21472763 2 258",2,488000,"NULL"
"27878","21472763 2 279",2,488000,"NULL"
"27879","21472763 2 767",2,520000,"NULL"
"27880","21472763 6 20084",12,510000,"NULL"
"27881","21472763 6 627",6,309000,"NULL"
"27882","21472763 7 59",7,250000,"NULL"
"27883","21472788 2 100",8,1100000,"NULL"
"27884","21472788 2 1064",6,8e+05,"NULL"
"27885","21472877 2 11681",2,2e+06,"NULL"
"27886","21472877 2 2205",6,6e+05,"NULL"
"27887","21472877 2 2583",2,371000,"NULL"
"27888","21472877 2 3186",2,371000,"NULL"
"27889","21472877 2 4829",2,6e+05,"NULL"
"27890","21472877 6 101527",12,1385000,"NULL"
"27891","21472877 6 102121",30,1417500,"NULL"
"27892","21472877 6 1080",12,1355600,"NULL"
"27893","21472877 6 11682",6,1219100,"NULL"
"27894","21472877 6 1257",12,492000,"NULL"
"27895","21472877 6 16766",12,1460800,"NULL"
"27896","21472877 6 232",12,950500,"NULL"
"27897","21472877 6 2674",12,1166800,"NULL"
"27898","21472877 6 5539",6,1074400,"NULL"
"27899","21472877 6 7773",18,1237000,"NULL"
"27900","21472898 2 1273",4,1905000,"NULL"
"27901","21472898 2 1596",2,250000,"NULL"
"27902","21472898 2 2800",4,1905000,"NULL"
"27903","21472898 2 308",2,1905000,"NULL"
"27904","21472898 2 6112",2,2445000,"NULL"
"27905","21472898 2 8896",6,2445000,"NULL"
"27906","21472898 2 937",2,1300000,"NULL"
"27907","21472898 6 1281",6,199200,"NULL"
"27908","21472898 6 1442",6,268600,"NULL"
"27909","21472898 6 168",6,245000,"NULL"
"27910","21472898 6 174",12,249000,"NULL"
"27911","21472898 6 2311",6,268600,"NULL"
"27912","21472898 6 6113",6,314000,"NULL"
"27913","21472898 6 685",12,168400,"NULL"
"27914","21472898 8 164",32,114000,"NULL"
"27915","21472900 2 1124",2,8e+05,"NULL"
"27916","21472900 2 11928",4,2e+06,"NULL"
"27917","21472900 2 15020",2,2e+06,"NULL"
"27918","21472900 2 17605",2,2e+06,"NULL"
"27919","21472900 2 1873",4,8e+05,"NULL"
"27920","21472900 2 226",2,8e+05,"NULL"
"27921","21472900 2 2503",2,8e+05,"NULL"
"27922","21472900 2 2613",2,8e+05,"NULL"
"27923","21472900 2 3693",2,8e+05,"NULL"
"27924","21472900 2 5073",2,2e+06,"NULL"
"27925","21472900 2 8968",6,2e+06,"NULL"
"27926","21472900 6 12553",6,1646150,"NULL"
"27927","21472900 6 1491",12,738700,"NULL"
"27928","21472900 6 16277",6,863500,"NULL"
"27929","21472900 6 2249",6,266000,"NULL"
"27930","21472900 6 2493",6,944000,"NULL"
"27931","21472900 6 2767",6,380000,"NULL"
"27932","21472900 6 349",6,369750,"NULL"
"27933","21472900 6 361",6,494400,"NULL"
"27934","21472900 6 6479",12,398700,"NULL"
"27935","21472900 6 773",6,532000,"NULL"
"27936","21472900 6 9391",6,920400,"NULL"
"27937","21472969 2 16936",2,5e+06,"NULL"
"27938","21472969 2 19687",2,6e+06,"NULL"
"27939","21472969 2 34845",14,7600000,"NULL"
"27940","21472969 6 8581",18,1449000,"NULL"
"27941","21472969 7 11456",21,4800000,"NULL"
"27942","21472969 7 14210",7,5e+06,"NULL"
"27943","21472969 7 22596",7,5e+06,"NULL"
"27944","21472969 7 257",7,3e+06,"NULL"
"27945","21472969 7 29715",14,1.4e+07,"NULL"
"27946","21472969 7 8517",21,4500000,"NULL"
"27947","21472970 2 12661",2,1.1e+07,"NULL"
"27948","21472970 2 15553",2,6430000,"NULL"
"27949","21472970 2 15570",2,5570000,"NULL"
"27950","21472970 2 18660",2,5570000,"NULL"
"27951","21472970 2 18661",2,6430000,"NULL"
"27952","21472970 2 21304",2,6430000,"NULL"
"27953","21472970 2 21305",2,5570000,"NULL"
"27954","21472970 2 2332",2,3840000,"NULL"
"27955","21472970 2 26076",2,6430000,"NULL"
"27956","21472970 2 26077",2,5570000,"NULL"
"27957","21472970 2 302",2,3840000,"NULL"
"27958","21472970 2 3085",2,3840000,"NULL"
"27959","21472970 2 6206",4,3840000,"NULL"
"27960","21472970 2 688",2,3e+06,"NULL"
"27961","21472970 2 908",4,3840000,"NULL"
"27962","21472970 2 9660",6,10200000,"NULL"
"27963","21472970 3 13922",3,1e+06,"NULL"
"27964","21472970 6 10131",12,4014500,"NULL"
"27965","21472970 6 103",6,1726000,"NULL"
"27966","21472970 6 112",6,2200000,"NULL"
"27967","21472970 6 1329",6,209600,"NULL"
"27968","21472970 6 1378",6,1882700,"NULL"
"27969","21472970 6 1411",6,927300,"NULL"
"27970","21472970 6 15426",6,6438850,"NULL"
"27971","21472970 6 171",18,2220000,"NULL"
"27972","21472970 6 19291",6,2383000,"NULL"
"27973","21472970 6 19292",6,4799400,"NULL"
"27974","21472970 6 2003",18,3258000,"NULL"
"27975","21472970 6 23058",6,2383000,"NULL"
"27976","21472970 6 23059",6,4799400,"NULL"
"27977","21472970 6 26078",6,2383000,"NULL"
"27978","21472970 6 26079",6,4799400,"NULL"
"27979","21472970 6 2629",6,2172000,"NULL"
"27980","21472970 6 2680",6,1895000,"NULL"
"27981","21472970 6 6207",6,2172000,"NULL"
"27982","21472970 6 6208",6,1895000,"NULL"
"27983","21472970 6 734",18,2314500,"NULL"
"27984","21472970 8 165",16,1686000,"NULL"
"27985","21472975 2 984",2,1900000,"NULL"
"27986","21472975 3 408",3,2e+05,"NULL"
"27987","21472975 6 243",6,339000,"NULL"
"27988","21472993 2 1066",4,2e+06,"NULL"
"27989","21472993 2 159",2,3e+06,"NULL"
"27990","21472993 2 3438",2,4900000,"NULL"
"27991","21472993 2 716",2,7e+05,"NULL"
"27992","21472993 2 8973",2,3e+06,"NULL"
"27993","21472993 2 965",2,620000,"NULL"
"27994","21472993 3 100",3,3e+05,"NULL"
"27995","21472993 3 107",3,232000,"NULL"
"27996","21472993 3 138",6,6e+05,"NULL"
"27997","21472993 6 14065",6,878788,"NULL"
"27998","21472993 6 1812",6,924788,"NULL"
"27999","21472993 6 20068",6,280000,"NULL"
"28000","21472993 6 20079",6,1576000,"NULL"
"28001","21472993 6 2829",12,924788,"NULL"
"28002","21472993 6 835",12,924788,"NULL"
"28003","21472993 6 8972",6,878788,"NULL"
"28004","21472997 2 382",6,5e+05,"NULL"
"28005","21472999 2 27",2,758000,"NULL"
"28006","21473023 2 1029",4,1e+06,"NULL"
"28007","21473023 2 11178",2,4e+06,"NULL"
"28008","21473023 2 13427",2,4e+06,"NULL"
"28009","21473023 2 16102",2,4e+06,"NULL"
"28010","21473023 2 18985",2,4e+06,"NULL"
"28011","21473023 2 1911",2,1500000,"NULL"
"28012","21473023 2 21644",2,4e+06,"NULL"
"28013","21473023 2 24533",4,4e+06,"NULL"
"28014","21473023 2 2568",2,2e+06,"NULL"
"28015","21473023 2 28179",2,4e+06,"NULL"
"28016","21473023 2 32107",4,4e+06,"NULL"
"28017","21473023 2 3404",6,2300000,"NULL"
"28018","21473023 2 460",2,8e+05,"NULL"
"28019","21473023 2 5193",2,2700000,"NULL"
"28020","21473023 2 8206",4,2700000,"NULL"
"28021","21473023 2 850",2,8e+05,"NULL"
"28022","21473023 5 36473",15,1088224,"NULL"
"28023","21473023 5 409",25,2666668,"NULL"
"28024","21473023 6 101473",6,695000,"NULL"
"28025","21473023 6 102061",6,676100,"NULL"
"28026","21473023 6 102754",6,1090000,"NULL"
"28027","21473023 6 1030",6,449500,"NULL"
"28028","21473023 6 11180",12,2726950,"NULL"
"28029","21473023 6 13703",6,3185000,"NULL"
"28030","21473023 6 1505",6,433750,"NULL"
"28031","21473023 6 16423",6,3185000,"NULL"
"28032","21473023 6 19222",6,3185000,"NULL"
"28033","21473023 6 22096",6,3185000,"NULL"
"28034","21473023 6 25307",6,3185000,"NULL"
"28035","21473023 6 29208",6,3185000,"NULL"
"28036","21473023 6 32950",6,3185000,"NULL"
"28037","21473023 6 466",12,433750,"NULL"
"28038","21473023 6 4981",12,1850000,"NULL"
"28039","21473023 6 8308",6,1791600,"NULL"
"28040","21473040 1 161",3,8e+05,"NULL"
"28041","21473040 1 293",1,8e+05,"NULL"
"28042","21473048 2 11516",4,1500000,"NULL"
"28043","21473048 2 13230",6,1650000,"NULL"
"28044","21473048 2 16867",2,9e+05,"NULL"
"28045","21473048 2 1703",2,1e+06,"NULL"
"28046","21473048 2 19606",2,9e+05,"NULL"
"28047","21473048 2 2027",4,1e+06,"NULL"
"28048","21473048 2 2552",2,1e+06,"NULL"
"28049","21473048 2 339",2,1300000,"NULL"
"28050","21473048 2 3477",6,5e+05,"NULL"
"28051","21473048 2 5971",2,1050000,"NULL"
"28052","21473048 2 8952",2,1e+06,"NULL"
"28053","21473048 2 958",10,1e+06,"NULL"
"28054","21473048 3 16",3,2e+05,"NULL"
"28055","21473048 3 96",3,2e+05,"NULL"
"28056","21473051 13 39238",169,3947500,"NULL"
"28057","21473051 2 11469",6,3e+06,"NULL"
"28058","21473051 2 14634",6,3e+06,"NULL"
"28059","21473051 2 16641",8,4e+06,"NULL"
"28060","21473051 2 19782",6,4e+06,"NULL"
"28061","21473051 2 2038",8,2e+06,"NULL"
"28062","21473051 2 20718",14,4e+06,"NULL"
"28063","21473051 2 22652",10,5e+06,"NULL"
"28064","21473051 2 23553",20,5e+06,"NULL"
"28065","21473051 2 2455",18,2100000,"NULL"
"28066","21473051 2 26612",12,5e+06,"NULL"
"28067","21473051 2 2946",8,2e+06,"NULL"
"28068","21473051 2 30278",12,5e+06,"NULL"
"28069","21473051 2 32499",16,5e+06,"NULL"
"28070","21473051 2 34381",12,5e+06,"NULL"
"28071","21473051 2 36197",12,5e+06,"NULL"
"28072","21473051 2 3679",6,2e+06,"NULL"
"28073","21473051 2 37390",14,7e+06,"NULL"
"28074","21473051 2 39099",12,5e+06,"NULL"
"28075","21473051 2 41347",2,1e+06,"NULL"
"28076","21473051 2 4624",6,2e+06,"NULL"
"28077","21473051 2 465",8,1e+06,"NULL"
"28078","21473051 2 5889",8,2e+06,"NULL"
"28079","21473051 2 757",4,408000,"NULL"
"28080","21473051 2 8744",8,3e+06,"NULL"
"28081","21473051 6 100632",30,823602,"NULL"
"28082","21473051 6 100990",24,962300,"NULL"
"28083","21473051 6 101575",24,624900,"NULL"
"28084","21473051 6 101925",18,1146200,"NULL"
"28085","21473051 6 102376",12,1006700,"NULL"
"28086","21473051 6 102571",24,1156200,"NULL"
"28087","21473051 6 103002",24,1454600,"NULL"
"28088","21473051 6 4561",30,2047800,"NULL"
"28089","21473051 6 508",18,754880,"NULL"
"28090","21473051 6 67",18,486026,"NULL"
"28091","21473051 6 772",6,113750,"NULL"
"28092","21473051 6 7772",18,1943200,"NULL"
"28093","21473055 2 13608",2,6e+05,"NULL"
"28094","21473055 2 16273",2,1150000,"NULL"
"28095","21473055 2 19119",2,1150000,"NULL"
"28096","21473055 2 22119",2,1150000,"NULL"
"28097","21473055 5 36475",15,851100,"NULL"
"28098","21473055 6 13609",12,459650,"NULL"
"28099","21473055 6 16275",6,457100,"NULL"
"28100","21473055 6 19120",6,457100,"NULL"
"28101","21473055 6 22118",6,457100,"NULL"
"28102","21473096 13 28870",39,629700,"NULL"
"28103","21473096 2 21994",2,814000,"NULL"
"28104","21473096 2 23411",2,1e+06,"NULL"
"28105","21473096 2 26440",2,1300000,"NULL"
"28106","21473096 2 30351",2,1300000,"NULL"
"28107","21473096 2 34108",6,1300000,"NULL"
"28108","21473096 2 39131",4,2500000,"NULL"
"28109","21473096 6 22045",6,493600,"NULL"
"28110","21473096 6 23418",6,682000,"NULL"
"28111","21473096 6 26511",6,827800,"NULL"
"28112","21473096 6 30411",6,990336,"NULL"
"28113","21473096 6 34109",18,990336,"NULL"
"28114","21473096 6 39134",6,1700818,"NULL"
"28115","21473099 2 12968",2,5e+05,"NULL"
"28116","21473099 2 1408",2,3e+05,"NULL"
"28117","21473099 2 15337",2,5e+05,"NULL"
"28118","21473099 2 17922",2,5e+05,"NULL"
"28119","21473099 2 20507",2,5e+05,"NULL"
"28120","21473099 2 23112",2,2700000,"NULL"
"28121","21473099 2 261",18,2700000,"NULL"
"28122","21473099 2 26125",2,2700000,"NULL"
"28123","21473099 2 2903",2,5e+05,"NULL"
"28124","21473099 2 3050",2,5e+05,"NULL"
"28125","21473099 2 30868",2,2700000,"NULL"
"28126","21473099 2 4651",2,1e+05,"NULL"
"28127","21473099 2 473",2,5e+05,"NULL"
"28128","21473099 2 650",2,5e+05,"NULL"
"28129","21473099 2 7275",4,5e+05,"NULL"
"28130","21473099 2 9968",6,445000,"NULL"
"28131","21473099 3 9397",3,3e+05,"NULL"
"28132","21473099 6 101453",6,335900,"NULL"
"28133","21473099 6 12970",6,754900,"NULL"
"28134","21473099 6 15338",6,754900,"NULL"
"28135","21473099 6 17923",6,754900,"NULL"
"28136","21473099 6 20508",6,754900,"NULL"
"28137","21473099 6 23395",6,342200,"NULL"
"28138","21473099 6 26900",18,379200,"NULL"
"28139","21473099 6 30869",6,308200,"NULL"
"28140","21473099 6 34730",48,308200,"NULL"
"28141","21473099 6 4577",12,541200,"NULL"
"28142","21473099 6 7307",6,833600,"NULL"
"28143","21473099 6 9970",12,833600,"NULL"
"28144","21473110 1 64",4,350000,"NULL"
"28145","21473110 13 34955",299,3126000,"NULL"
"28146","21473110 13 37845",234,3765300,"NULL"
"28147","21473110 13 40591",91,2030000,"NULL"
"28148","21473110 2 10229",10,1500000,"NULL"
"28149","21473110 2 13856",12,3e+06,"NULL"
"28150","21473110 2 31417",2,1500000,"NULL"
"28151","21473110 2 34688",12,1e+06,"NULL"
"28152","21473110 2 40539",2,1e+06,"NULL"
"28153","21473110 2 8965",4,1500000,"NULL"
"28154","21473110 3 967",3,3e+05,"NULL"
"28155","21473110 6 10145",18,340000,"NULL"
"28156","21473110 6 10146",24,502600,"NULL"
"28157","21473110 6 1479",30,425600,"NULL"
"28158","21473110 6 15648",18,1883600,"NULL"
"28159","21473110 6 164",12,187339,"NULL"
"28160","21473110 6 19446",36,1056000,"NULL"
"28161","21473110 6 2209",6,405600,"NULL"
"28162","21473110 6 23525",18,1131300,"NULL"
"28163","21473110 6 27472",6,1848300,"NULL"
"28164","21473110 6 31937",6,1741100,"NULL"
"28165","21473110 6 4932",18,580800,"NULL"
"28166","21473110 6 8632",18,539200,"NULL"
"28167","21473110 7 106",7,3e+05,"NULL"
"28168","21473110 7 174",7,2e+05,"NULL"
"28169","21473110 7 189",21,250000,"NULL"
"28170","21473110 7 19346",7,1e+06,"NULL"
"28171","21473110 7 21723",28,3600000,"NULL"
"28172","21473110 7 23899",7,7e+05,"NULL"
"28173","21473110 7 245",7,3e+05,"NULL"
"28174","21473110 7 27320",14,7e+05,"NULL"
"28175","21473119 1 674",1,1200000,"NULL"
"28176","21473119 2 526",2,1e+06,"NULL"
"28177","21473119 2 927",4,1e+06,"NULL"
"28178","21473119 6 125",6,194500,"NULL"
"28179","21473119 6 340",6,265600,"NULL"
"28180","21473135 13 30400",39,185700,"NULL"
"28181","21473135 13 32826",39,177000,"NULL"
"28182","21473135 13 34637",117,216400,"NULL"
"28183","21473135 2 12601",2,1400000,"NULL"
"28184","21473135 2 15450",4,1400000,"NULL"
"28185","21473135 2 1592",6,1e+06,"NULL"
"28186","21473135 2 18127",2,1e+06,"NULL"
"28187","21473135 2 20805",2,1e+06,"NULL"
"28188","21473135 2 23742",2,1200000,"NULL"
"28189","21473135 2 26977",4,1200000,"NULL"
"28190","21473135 2 270",8,6e+05,"NULL"
"28191","21473135 2 30867",6,2080000,"NULL"
"28192","21473135 2 3208",10,1e+06,"NULL"
"28193","21473135 2 34296",18,1e+06,"NULL"
"28194","21473135 2 679",2,6e+05,"NULL"
"28195","21473135 2 6861",4,1e+06,"NULL"
"28196","21473135 2 9945",4,995000,"NULL"
"28197","21473135 5 299",30,563400,"NULL"
"28198","21473135 6 100183",6,246400,"NULL"
"28199","21473135 6 101026",12,318600,"NULL"
"28200","21473135 6 1120",6,212200,"NULL"
"28201","21473135 6 11759",6,130200,"NULL"
"28202","21473135 6 14403",6,368000,"NULL"
"28203","21473135 6 1665",6,318600,"NULL"
"28204","21473135 6 16973",6,341200,"NULL"
"28205","21473135 6 180",24,212200,"NULL"
"28206","21473135 6 19498",6,696400,"NULL"
"28207","21473135 6 2040",12,318600,"NULL"
"28208","21473135 6 22117",12,696400,"NULL"
"28209","21473135 6 25071",6,696400,"NULL"
"28210","21473135 6 28000",12,696400,"NULL"
"28211","21473135 6 31566",12,626400,"NULL"
"28212","21473135 6 39704",6,196800,"NULL"
"28213","21473135 6 5443",18,380000,"NULL"
"28214","21473135 6 8734",12,165600,"NULL"
"28215","21473135 7 186",7,1e+06,"NULL"
"28216","21473135 8 166",32,160000,"NULL"
"28217","21473138 2 1193",8,5480000,"NULL"
"28218","21473138 2 356",2,2700000,"NULL"
"28219","21473138 2 839",2,2e+06,"NULL"
"28220","21473138 3 203",9,3e+05,"NULL"
"28221","21473138 6 1192",6,1052000,"NULL"
"28222","21473138 6 219",6,1406000,"NULL"
"28223","21473139 2 14767",6,3e+05,"NULL"
"28224","21473139 2 19526",2,570000,"NULL"
"28225","21473139 2 38195",8,2200000,"NULL"
"28226","21473139 2 40034",2,32659,"NULL"
"28227","21473139 6 25369",6,340000,"NULL"
"28228","21473139 6 26470",18,558600,"NULL"
"28229","21473149 13 22567",26,1395000,"NULL"
"28230","21473149 13 28589",26,2329200,"NULL"
"28231","21473149 13 31028",208,2275000,"NULL"
"28232","21473149 13 38526",169,5273700,"NULL"
"28233","21473149 13 38824",260,4763600,"NULL"
"28234","21473149 2 1435",8,2e+06,"NULL"
"28235","21473149 2 14642",2,2500000,"NULL"
"28236","21473149 2 17285",8,2600000,"NULL"
"28237","21473149 2 18819",4,1e+06,"NULL"
"28238","21473149 2 19560",2,2e+06,"NULL"
"28239","21473149 2 19973",4,2e+06,"NULL"
"28240","21473149 2 20332",2,7e+05,"NULL"
"28241","21473149 2 2116",2,2300000,"NULL"
"28242","21473149 2 21434",6,850000,"NULL"
"28243","21473149 2 21876",2,1e+06,"NULL"
"28244","21473149 2 22388",2,2e+06,"NULL"
"28245","21473149 2 22566",2,2e+06,"NULL"
"28246","21473149 2 2522",2,2300000,"NULL"
"28247","21473149 2 2523",2,2300000,"NULL"
"28248","21473149 2 2529",2,2300000,"NULL"
"28249","21473149 2 25570",2,2500000,"NULL"
"28250","21473149 2 25760",2,2e+06,"NULL"
"28251","21473149 2 29221",6,5e+06,"NULL"
"28252","21473149 2 29469",6,3e+06,"NULL"
"28253","21473149 2 38629",2,1e+07,"NULL"
"28254","21473149 2 39880",2,5e+05,"NULL"
"28255","21473149 2 558",2,1500000,"NULL"
"28256","21473149 6 100424",6,886950,"NULL"
"28257","21473149 6 101284",6,1084000,"NULL"
"28258","21473149 6 15325",30,4102200,"NULL"
"28259","21473149 6 1777",6,1084000,"NULL"
"28260","21473149 6 2300",6,1084000,"NULL"
"28261","21473149 6 2683",6,1084000,"NULL"
"28262","21473149 6 33051",6,2746771,"NULL"
"28263","21473149 6 33941",6,3723980,"NULL"
"28264","21473149 6 5",6,857300,"NULL"
"28265","21473149 6 6473",6,933500,"NULL"
"28266","21473149 6 8633",6,2040000,"NULL"
"28267","21473153 2 11344",4,6e+05,"NULL"
"28268","21473153 2 1373",2,2e+05,"NULL"
"28269","21473153 2 14493",2,3e+05,"NULL"
"28270","21473153 2 15623",2,550000,"NULL"
"28271","21473153 2 18642",2,6e+05,"NULL"
